freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.570e+00,5.561e+00,4.326e+02,4.457e+02
1.5,1.291e+01,1.221e+01,2.555e+02,2.806e+02
3.0,1.067e+01,1.309e+01,2.461e+01,4.837e+01
4.6,1.009e+01,1.380e+01,3.124e+02,3.363e+02
6.1,1.048e+01,1.766e+01,1.238e+03,1.266e+03
7.6,1.016e+01,2.388e+01,1.690e+03,1.724e+03
9.1,1.110e+01,1.578e+01,2.126e+03,2.153e+03
10.7,1.090e+01,1.414e+01,2.968e+03,2.993e+03
12.2,1.048e+01,1.601e+01,4.018e+03,4.044e+03
13.7,9.864e+00,1.534e+01,5.130e+03,5.155e+03
15.2,9.807e+00,1.545e+01,6.282e+03,6.307e+03
16.7,1.042e+01,1.619e+01,7.625e+03,7.651e+03
18.3,1.102e+01,1.535e+01,9.152e+03,9.178e+03
19.8,1.188e+01,1.447e+01,1.115e+04,1.118e+04
21.3,1.303e+01,1.658e+01,1.395e+04,1.398e+04
22.8,1.380e+01,1.735e+01,1.757e+04,1.760e+04
24.4,1.525e+01,1.942e+01,2.007e+04,2.011e+04
25.9,1.411e+01,3.003e+01,1.912e+04,1.916e+04
27.4,1.513e+01,2.954e+01,2.010e+04,2.015e+04
28.9,1.674e+01,2.311e+01,2.249e+04,2.253e+04
30.4,1.584e+01,1.858e+01,2.652e+04,2.656e+04
32.0,1.614e+01,2.101e+01,3.085e+04,3.089e+04
33.5,1.774e+01,2.573e+01,3.267e+04,3.271e+04
35.0,1.978e+01,3.338e+01,3.432e+04,3.438e+04
36.5,1.697e+01,3.379e+01,3.994e+04,3.999e+04
38.1,1.682e+01,2.910e+01,4.701e+04,4.705e+04
39.6,3.001e+01,2.910e+01,5.299e+04,5.305e+04
41.1,3.911e+01,3.432e+01,5.597e+04,5.604e+04
42.6,5.934e+01,3.695e+01,6.283e+04,6.293e+04
44.1,9.312e+01,3.247e+01,7.651e+04,7.663e+04
45.7,1.319e+02,3.461e+01,9.348e+04,9.365e+04
47.2,1.984e+02,3.574e+01,1.135e+05,1.138e+05
48.7,3.032e+02,3.721e+01,1.396e+05,1.400e+05
50.2,4.011e+02,3.651e+01,1.651e+05,1.656e+05
51.8,4.353e+02,3.947e+01,1.827e+05,1.831e+05
53.3,4.767e+02,4.274e+01,1.966e+05,1.971e+05
54.8,6.948e+02,5.859e+01,2.367e+05,2.375e+05
56.3,1.106e+03,8.574e+01,3.113e+05,3.125e+05
57.9,1.588e+03,1.592e+02,4.270e+05,4.287e+05
59.4,2.509e+03,3.688e+02,6.476e+05,6.505e+05
60.9,5.340e+03,9.128e+02,1.122e+06,1.128e+06
62.4,1.163e+04,2.964e+03,1.904e+06,1.918e+06
63.9,1.864e+04,6.399e+03,2.460e+06,2.485e+06
65.5,2.130e+04,8.819e+03,2.441e+06,2.471e+06
67.0,1.902e+04,9.413e+03,2.099e+06,2.127e+06
68.5,1.723e+04,8.984e+03,1.661e+06,1.688e+06
70.0,1.612e+04,8.179e+03,1.222e+06,1.246e+06
71.6,1.500e+04,7.329e+03,8.595e+05,8.818e+05
73.1,1.684e+04,6.927e+03,6.037e+05,6.275e+05
74.6,2.128e+04,7.029e+03,4.912e+05,5.195e+05
76.1,1.849e+04,6.321e+03,4.690e+05,4.938e+05
77.6,1.145e+04,4.943e+03,4.296e+05,4.460e+05
79.2,6.416e+03,3.857e+03,3.680e+05,3.783e+05
80.7,3.607e+03,3.065e+03,3.119e+05,3.185e+05
82.2,2.381e+03,2.817e+03,2.752e+05,2.804e+05
83.7,2.700e+03,3.583e+03,2.664e+05,2.727e+05
85.3,3.332e+03,4.217e+03,2.580e+05,2.655e+05
86.8,3.561e+03,4.511e+03,2.450e+05,2.531e+05
88.3,4.261e+03,5.358e+03,2.311e+05,2.407e+05
89.8,5.434e+03,6.438e+03,2.161e+05,2.279e+05
91.3,4.979e+03,5.756e+03,2.095e+05,2.203e+05
92.9,4.519e+03,5.393e+03,2.035e+05,2.135e+05
94.4,5.786e+03,6.947e+03,1.921e+05,2.048e+05
95.9,7.430e+03,8.958e+03,1.880e+05,2.043e+05
97.4,9.422e+03,1.138e+04,1.829e+05,2.037e+05
99.0,1.012e+04,1.227e+04,1.673e+05,1.897e+05
100.5,1.131e+04,1.415e+04,1.566e+05,1.820e+05
102.0,1.264e+04,1.685e+04,1.520e+05,1.815e+05
103.5,1.387e+04,1.870e+04,1.556e+05,1.882e+05
105.0,1.441e+04,1.638e+04,1.592e+05,1.900e+05
106.6,1.408e+04,1.486e+04,1.524e+05,1.813e+05
108.1,1.184e+04,1.237e+04,1.417e+05,1.659e+05
109.6,1.023e+04,1.009e+04,1.311e+05,1.514e+05
111.1,7.852e+03,6.502e+03,1.262e+05,1.405e+05
112.7,5.384e+03,2.391e+03,1.130e+05,1.208e+05
114.2,3.306e+03,6.490e+02,9.487e+04,9.883e+04
115.7,2.409e+03,2.383e+02,7.689e+04,7.953e+04
117.2,1.467e+03,2.772e+02,5.673e+04,5.848e+04
118.7,7.513e+02,5.015e+02,3.797e+04,3.922e+04
120.3,3.443e+02,8.374e+02,2.378e+04,2.496e+04
121.8,1.411e+02,1.361e+03,1.496e+04,1.647e+04
123.3,1.948e+02,1.834e+03,1.198e+04,1.401e+04
124.8,3.439e+02,1.584e+03,1.031e+04,1.223e+04
126.4,4.158e+02,1.134e+03,8.772e+03,1.032e+04
127.9,3.869e+02,8.303e+02,6.805e+03,8.022e+03
129.4,3.668e+02,7.966e+02,5.151e+03,6.314e+03
130.9,4.300e+02,7.888e+02,3.966e+03,5.184e+03
132.4,4.303e+02,8.135e+02,2.690e+03,3.934e+03
134.0,2.934e+02,1.087e+03,1.213e+03,2.593e+03
135.5,2.880e+02,1.610e+03,1.044e+03,2.941e+03
137.0,3.158e+02,2.005e+03,1.086e+03,3.407e+03
138.5,3.457e+02,2.288e+03,1.092e+03,3.726e+03
140.1,3.844e+02,2.578e+03,1.094e+03,4.056e+03
141.6,4.519e+02,2.928e+03,1.122e+03,4.502e+03
143.1,5.380e+02,2.830e+03,1.210e+03,4.578e+03
144.6,5.617e+02,2.374e+03,1.327e+03,4.262e+03
146.1,5.178e+02,1.847e+03,1.488e+03,3.853e+03
147.7,4.830e+02,1.523e+03,1.580e+03,3.586e+03
149.2,4.557e+02,1.385e+03,1.593e+03,3.434e+03
150.7,4.556e+02,1.096e+03,1.456e+03,3.008e+03
152.2,4.277e+02,8.889e+02,1.229e+03,2.546e+03
153.8,4.249e+02,8.247e+02,1.128e+03,2.378e+03
155.3,4.435e+02,6.521e+02,1.159e+03,2.254e+03
156.8,5.278e+02,4.319e+02,1.350e+03,2.310e+03
158.3,7.597e+02,3.577e+02,1.885e+03,3.003e+03
159.9,1.108e+03,3.960e+02,2.737e+03,4.241e+03
161.4,1.274e+03,4.431e+02,3.134e+03,4.851e+03
162.9,1.252e+03,5.011e+02,2.971e+03,4.724e+03
164.4,1.329e+03,6.069e+02,2.925e+03,4.861e+03
165.9,1.357e+03,8.035e+02,2.806e+03,4.966e+03
167.5,1.336e+03,6.502e+02,2.584e+03,4.570e+03
169.0,1.375e+03,5.686e+02,2.356e+03,4.300e+03
170.5,1.404e+03,5.322e+02,2.059e+03,3.996e+03
172.0,1.399e+03,4.857e+02,1.678e+03,3.563e+03
173.6,1.462e+03,4.672e+02,1.293e+03,3.221e+03
175.1,1.591e+03,4.155e+02,9.872e+02,2.994e+03
176.6,1.749e+03,3.428e+02,8.243e+02,2.916e+03
178.1,1.959e+03,2.823e+02,8.798e+02,3.122e+03
179.6,2.165e+03,4.143e+02,1.135e+03,3.715e+03
181.2,2.380e+03,8.697e+02,1.569e+03,4.819e+03
182.7,2.402e+03,9.928e+02,1.802e+03,5.197e+03
184.2,2.270e+03,7.258e+02,2.128e+03,5.123e+03
185.7,1.930e+03,5.626e+02,2.393e+03,4.885e+03
187.3,1.529e+03,5.068e+02,2.332e+03,4.368e+03
188.8,1.166e+03,5.267e+02,1.953e+03,3.646e+03
190.3,9.378e+02,5.555e+02,1.688e+03,3.181e+03
191.8,1.005e+03,6.303e+02,1.643e+03,3.278e+03
193.3,1.391e+03,7.467e+02,2.074e+03,4.212e+03
194.9,2.011e+03,9.546e+02,2.767e+03,5.733e+03
196.4,3.009e+03,1.043e+03,3.922e+03,7.973e+03
197.9,4.301e+03,1.095e+03,5.691e+03,1.109e+04
199.4,5.923e+03,1.183e+03,8.441e+03,1.555e+04
