freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.913e+01,2.800e+02,1.028e+01,3.194e+02
1.5,2.416e+01,1.650e+02,2.051e+01,2.097e+02
3.0,1.021e+01,1.948e+01,1.923e+01,4.892e+01
4.6,1.011e+01,3.490e+02,1.884e+01,3.779e+02
6.1,1.011e+01,1.330e+03,2.355e+01,1.364e+03
7.6,1.063e+01,1.444e+03,2.704e+01,1.482e+03
9.1,1.130e+01,1.788e+03,2.321e+01,1.822e+03
10.7,1.162e+01,2.641e+03,2.073e+01,2.673e+03
12.2,1.210e+01,3.765e+03,2.041e+01,3.798e+03
13.7,1.125e+01,5.378e+03,2.111e+01,5.411e+03
15.2,9.810e+00,7.394e+03,2.354e+01,7.428e+03
16.7,1.021e+01,9.470e+03,2.585e+01,9.506e+03
18.3,1.201e+01,1.164e+04,2.476e+01,1.168e+04
19.8,1.257e+01,1.444e+04,2.243e+01,1.448e+04
21.3,1.219e+01,1.809e+04,2.085e+01,1.812e+04
22.8,1.669e+01,2.233e+04,2.145e+01,2.236e+04
24.4,2.154e+01,2.685e+04,2.349e+01,2.690e+04
25.9,3.201e+01,3.247e+04,3.362e+01,3.254e+04
27.4,4.998e+01,3.564e+04,4.363e+01,3.573e+04
28.9,6.769e+01,3.216e+04,3.217e+01,3.226e+04
30.4,5.473e+01,3.603e+04,2.482e+01,3.611e+04
32.0,3.578e+01,4.723e+04,2.437e+01,4.729e+04
33.5,5.953e+01,6.089e+04,2.390e+01,6.097e+04
35.0,1.306e+02,8.212e+04,2.538e+01,8.227e+04
36.5,2.457e+02,1.209e+05,3.426e+01,1.212e+05
38.1,3.567e+02,1.657e+05,4.767e+01,1.661e+05
39.6,5.403e+02,2.241e+05,6.002e+01,2.247e+05
41.1,9.815e+02,3.285e+05,7.340e+01,3.295e+05
42.6,2.475e+03,5.991e+05,8.314e+01,6.017e+05
44.2,4.680e+03,8.126e+05,9.146e+01,8.174e+05
45.7,5.768e+03,7.079e+05,1.406e+02,7.138e+05
47.2,5.923e+03,5.217e+05,1.734e+02,5.278e+05
48.7,5.590e+03,3.690e+05,1.668e+02,3.748e+05
50.2,5.065e+03,2.629e+05,1.549e+02,2.681e+05
51.8,4.612e+03,1.909e+05,1.067e+02,1.957e+05
53.3,4.303e+03,1.321e+05,6.732e+01,1.365e+05
54.8,4.596e+03,9.677e+04,8.070e+01,1.014e+05
56.3,4.841e+03,7.489e+04,1.084e+02,7.983e+04
57.9,4.987e+03,6.301e+04,1.198e+02,6.811e+04
59.4,5.740e+03,6.036e+04,1.698e+02,6.627e+04
60.9,6.920e+03,5.557e+04,2.332e+02,6.272e+04
62.4,8.589e+03,4.791e+04,3.251e+02,5.682e+04
63.9,1.108e+04,4.095e+04,5.631e+02,5.260e+04
65.5,1.498e+04,3.733e+04,1.028e+03,5.334e+04
67.0,2.103e+04,3.527e+04,1.793e+03,5.809e+04
68.5,2.925e+04,3.108e+04,2.882e+03,6.322e+04
70.0,3.996e+04,2.300e+04,3.819e+03,6.678e+04
71.6,5.382e+04,1.374e+04,4.227e+03,7.179e+04
73.1,7.155e+04,7.159e+03,4.158e+03,8.286e+04
74.6,9.324e+04,7.713e+03,3.231e+03,1.042e+05
76.1,1.104e+05,1.807e+04,2.520e+03,1.310e+05
77.6,1.071e+05,2.946e+04,3.076e+03,1.396e+05
79.2,9.790e+04,3.781e+04,3.618e+03,1.393e+05
80.7,9.437e+04,4.875e+04,3.841e+03,1.470e+05
82.2,9.514e+04,6.529e+04,3.978e+03,1.644e+05
83.7,9.152e+04,7.968e+04,3.457e+03,1.747e+05
85.3,8.669e+04,9.093e+04,2.731e+03,1.804e+05
86.8,9.245e+04,1.137e+05,2.641e+03,2.088e+05
88.3,1.036e+05,1.481e+05,3.268e+03,2.550e+05
89.8,1.129e+05,1.902e+05,4.740e+03,3.078e+05
91.3,1.141e+05,2.303e+05,7.501e+03,3.519e+05
92.9,1.007e+05,2.351e+05,1.008e+04,3.459e+05
94.4,8.447e+04,2.192e+05,1.178e+04,3.155e+05
95.9,7.247e+04,2.029e+05,1.423e+04,2.896e+05
97.4,6.415e+04,1.899e+05,1.876e+04,2.728e+05
99.0,5.634e+04,1.743e+05,2.435e+04,2.549e+05
100.5,4.976e+04,1.582e+05,2.876e+04,2.367e+05
102.0,4.323e+04,1.451e+05,3.586e+04,2.242e+05
103.5,3.683e+04,1.309e+05,3.936e+04,2.071e+05
105.0,3.433e+04,1.188e+05,3.570e+04,1.888e+05
106.6,3.205e+04,1.059e+05,3.485e+04,1.728e+05
108.1,3.043e+04,9.057e+04,3.356e+04,1.546e+05
109.6,3.000e+04,7.933e+04,2.731e+04,1.366e+05
111.1,3.027e+04,7.388e+04,1.683e+04,1.210e+05
112.7,2.648e+04,6.072e+04,1.114e+04,9.835e+04
114.2,2.296e+04,4.690e+04,7.284e+03,7.715e+04
115.7,2.076e+04,4.062e+04,4.395e+03,6.577e+04
117.2,1.753e+04,3.484e+04,2.100e+03,5.448e+04
118.7,1.446e+04,3.100e+04,8.932e+02,4.635e+04
120.3,1.214e+04,2.831e+04,4.109e+02,4.086e+04
121.8,9.957e+03,2.330e+04,3.233e+02,3.358e+04
123.3,9.567e+03,2.035e+04,4.609e+02,3.038e+04
124.8,1.055e+04,1.823e+04,5.823e+02,2.936e+04
126.4,1.119e+04,1.518e+04,6.870e+02,2.705e+04
127.9,9.983e+03,1.225e+04,8.682e+02,2.311e+04
129.4,7.583e+03,1.086e+04,8.846e+02,1.933e+04
130.9,5.842e+03,1.024e+04,9.111e+02,1.699e+04
132.5,3.548e+03,7.835e+03,7.368e+02,1.212e+04
134.0,7.261e+02,1.923e+03,3.605e+02,3.010e+03
135.5,2.668e+02,1.104e+03,3.505e+02,1.721e+03
137.0,2.990e+02,1.213e+03,3.987e+02,1.911e+03
